department,leaveType,leaveDuration,month,dayOfWeek,previousLeavesTaken,ageYears,tenureMonths,attendanceReliability,status
Health & Safety,Sick Leave,1,12,1,15,28,108,100.0,Approved
Health & Safety,Sick Leave,1,12,3,16,28,108,96.2,Rejected
Health & Safety,Sick Leave,1,12,0,16,28,108,90.1,Approved
Operations,Annual Leave,10,12,1,2,34,168,97.1,Approved
Health & Safety,Sick Leave,3,1,0,0,30,108,87.8,Approved
Health & Safety,Sick Leave,2,1,3,1,30,108,78.2,Rejected
Health & Safety,Sick Leave,1,1,3,0,40,204,81.8,Rejected
Health & Safety,Sick Leave,1,1,4,0,40,204,88.1,Approved
Health & Safety,Sick Leave,1,1,0,1,30,108,77.6,Approved
Health & Safety,Sick Leave,1,1,2,1,40,204,92.7,Approved
Health & Safety,Sick Leave,1,1,3,0,49,348,87.7,Approved
Operations,Annual Leave,1,1,4,2,40,204,81.9,Approved
Administration,Casual Leave,1,1,0,2,30,108,90.5,Approved
Operations,Annual Leave,1,1,1,0,34,168,87.0,Approved
Administration,Casual Leave,1,1,2,3,30,108,89.8,Rejected
Administration,Casual Leave,1,1,2,0,38,216,87.2,Rejected
Health & Safety,Sick Leave,1,1,2,0,33,156,87.1,Approved
Administration,Casual Leave,1,1,3,0,38,216,88.7,Approved
Administration,Casual Leave,1,1,4,1,38,216,82.8,Approved
Health & Safety,Sick Leave,1,2,1,2,38,216,91.0,Approved
Health & Safety,Sick Leave,1,2,1,0,28,108,90.0,Approved
Health & Safety,Sick Leave,1,2,2,0,47,168,91.8,Approved
Administration,Casual Leave,1,2,2,3,38,216,96.8,Approved
Health & Safety,Sick Leave,1,2,3,1,28,108,94.8,Approved
Administration,Casual Leave,1,2,3,4,38,216,87.7,Approved
Administration,Casual Leave,1,2,3,3,30,108,91.6,Approved
Health & Safety,Sick Leave,1,2,4,0,41,180,84.7,Approved
Administration,Casual Leave,1,2,4,5,38,216,84.8,Rejected
Administration,Casual Leave,1,2,0,0,31,12,89.5,Approved
Administration,Casual Leave,1,2,0,5,38,216,93.6,Rejected
Health & Safety,Sick Leave,1,2,1,2,28,108,85.2,Rejected
Administration,Casual Leave,1,2,2,5,38,216,86.8,Approved
Administration,Casual Leave,1,2,3,6,38,216,93.8,Approved
Health & Safety,Sick Leave,1,2,3,2,28,108,87.1,Approved
Health & Safety,Sick Leave,1,2,3,4,30,108,91.4,Approved
Health & Safety,Sick Leave,1,2,4,3,40,204,98.2,Approved
Administration,Casual Leave,1,2,4,7,38,216,96.5,Approved
Health & Safety,Sick Leave,1,2,2,1,31,12,86.9,Approved
Administration,Casual Leave,1,2,2,5,30,108,92.7,Approved
Health & Safety,Sick Leave,1,2,3,8,38,216,93.0,Approved
Health & Safety,Sick Leave,1,2,0,1,34,168,90.6,Approved
Health & Safety,Sick Leave,1,2,0,0,32,96,89.6,Rejected
Health & Safety,Sick Leave,1,2,0,3,28,108,94.0,Approved
Administration,Casual Leave,1,2,1,9,38,216,83.4,Approved
Health & Safety,Sick Leave,1,2,1,1,47,168,87.4,Approved
Health & Safety,Sick Leave,1,2,1,4,28,108,86.0,Approved
Health & Safety,Sick Leave,1,2,4,0,32,96,83.7,Approved
Administration,Casual Leave,1,3,0,10,38,216,88.0,Approved
Health & Safety,Sick Leave,1,3,0,2,47,168,78.9,Approved
Health & Safety,Sick Leave,1,3,1,0,58,192,73.5,Approved
Health & Safety,Sick Leave,1,3,1,3,47,168,78.3,Approved
Health & Safety,Sick Leave,10,3,1,1,58,192,90.5,Approved
Administration,Casual Leave,1,3,2,11,38,216,77.7,Approved
Administration,Casual Leave,1,3,3,5,28,108,94.0,Approved
Administration,Casual Leave,1,3,3,12,38,216,87.0,Approved
Health & Safety,Sick Leave,1,3,3,6,28,108,81.6,Approved
Administration,Casual Leave,1,3,4,6,30,108,84.2,Rejected
Health & Safety,Sick Leave,1,3,0,1,32,96,90.7,Approved
Administration,Casual Leave,1,3,0,0,28,36,85.0,Approved
Health & Safety,Sick Leave,1,3,1,13,38,216,82.6,Approved
Administration,Casual Leave,1,3,4,6,30,108,82.5,Approved
Health & Safety,Sick Leave,1,3,0,14,38,216,93.7,Approved
Health & Safety,Sick Leave,1,3,0,4,47,168,93.4,Approved
Administration,Casual Leave,1,3,0,15,38,216,91.2,Approved
Health & Safety,Sick Leave,1,3,0,7,28,108,100.0,Approved
Administration,Casual Leave,1,3,1,16,38,216,82.5,Approved
Health & Safety,Sick Leave,1,3,2,1,33,156,93.0,Approved
Health & Safety,Sick Leave,1,3,2,2,58,192,87.2,Approved
Health & Safety,Sick Leave,1,3,3,5,47,168,92.8,Approved
Health & Safety,Sick Leave,1,3,4,7,30,108,89.6,Approved
Administration,Casual Leave,1,3,4,17,38,216,90.7,Approved
Administration,Casual Leave,1,3,1,18,38,216,93.6,Rejected
Health & Safety,Sick Leave,1,3,2,0,46,288,74.5,Rejected
Health & Safety,Sick Leave,3,3,2,2,34,168,81.5,Approved
Administration,Casual Leave,1,3,2,18,38,216,82.2,Approved
Administration,Casual Leave,1,3,3,19,38,216,78.9,Rejected
Health & Safety,Sick Leave,1,3,0,8,30,108,94.6,Approved
Administration,Casual Leave,10,3,0,2,33,156,87.5,Approved
Health & Safety,Sick Leave,1,3,2,0,31,144,95.3,Approved
Health & Safety,Sick Leave,1,4,0,8,28,108,86.2,Approved
Health & Safety,Sick Leave,1,4,0,0,37,120,85.7,Approved
Administration,Casual Leave,1,4,1,1,28,36,85.0,Approved
Administration,Casual Leave,1,4,2,6,47,168,84.1,Approved
Health & Safety,Sick Leave,1,4,3,0,33,156,93.9,Approved
Administration,Casual Leave,1,4,4,9,30,108,85.8,Approved
Health & Safety,Sick Leave,3,4,0,1,31,144,89.0,Approved
Operations,Annual Leave,1,4,1,4,40,204,90.4,Approved
Health & Safety,Sick Leave,1,4,1,0,50,216,87.3,Approved
Health & Safety,Sick Leave,1,4,1,2,28,36,93.0,Approved
Health & Safety,Sick Leave,1,4,2,1,37,120,83.6,Approved
Health & Safety,Sick Leave,1,4,4,0,37,168,84.3,Approved
Administration,Casual Leave,1,4,0,9,28,108,85.5,Approved
Operations,Annual Leave,1,4,1,2,32,96,96.8,Approved
Health & Safety,Sick Leave,1,4,1,3,34,168,92.5,Approved
Administration,Casual Leave,1,4,3,10,28,108,88.6,Approved
Health & Safety,Sick Leave,1,4,3,1,50,216,79.2,Approved
Health & Safety,Sick Leave,1,5,0,1,37,168,82.3,Approved
Administration,Casual Leave,1,5,2,1,41,180,84.2,Approved
Health & Safety,Sick Leave,1,5,2,3,32,96,83.1,Approved
Health & Safety,Sick Leave,1,5,2,2,37,120,96.6,Approved
Administration,Casual Leave,1,5,2,0,43,156,89.4,Approved
Health & Safety,Sick Leave,1,5,3,10,30,108,80.1,Approved
Health & Safety,Sick Leave,1,5,3,0,40,144,94.2,Approved
Health & Safety,Sick Leave,1,5,3,2,41,180,92.4,Rejected
Administration,Casual Leave,8,5,4,0,43,156,89.8,Rejected
Health & Safety,Sick Leave,1,5,4,2,41,180,80.4,Approved
Administration,Casual Leave,1,5,4,11,30,108,79.0,Approved
Health & Safety,Sick Leave,1,5,0,2,50,216,96.4,Rejected
Health & Safety,Sick Leave,1,5,1,2,50,216,78.8,Approved
Health & Safety,Sick Leave,1,5,1,3,37,120,88.5,Approved
Administration,Casual Leave,1,5,1,3,50,216,88.1,Rejected
Administration,Casual Leave,1,5,2,12,30,108,90.6,Approved
Administration,Casual Leave,1,5,2,1,36,132,79.4,Rejected
Operations,Annual Leave,1,5,4,5,40,204,81.1,Approved
Health & Safety,Sick Leave,6,5,0,4,34,168,91.2,Rejected
Health & Safety,Sick Leave,1,5,0,4,32,96,79.4,Approved
Health & Safety,Sick Leave,1,5,2,1,40,144,81.7,Approved
Health & Safety,Sick Leave,1,5,2,6,40,204,82.0,Rejected
Health & Safety,Sick Leave,1,5,2,11,28,108,93.0,Rejected
Health & Safety,Sick Leave,1,5,3,0,28,48,93.5,Approved
Health & Safety,Sick Leave,1,5,3,5,32,96,88.7,Approved
Health & Safety,Sick Leave,1,5,0,3,28,36,88.8,Approved
Health & Safety,Sick Leave,1,5,2,4,34,168,81.4,Rejected
Health & Safety,Sick Leave,1,5,4,6,40,204,84.2,Approved
Health & Safety,Sick Leave,1,5,4,4,34,168,85.2,Approved
Health & Safety,Sick Leave,1,5,0,11,28,108,91.8,Approved
Health & Safety,Sick Leave,1,6,2,0,46,288,78.7,Approved
Administration,Casual Leave,1,6,2,13,30,108,87.0,Rejected
Administration,Casual Leave,1,6,4,4,37,120,93.7,Approved
Health & Safety,Sick Leave,1,6,2,5,37,120,91.2,Approved
Health & Safety,Sick Leave,1,6,3,1,36,132,91.7,Approved
Administration,Casual Leave,3,6,3,3,50,216,86.3,Approved
Administration,Casual Leave,1,6,4,2,31,12,91.6,Approved
Administration,Casual Leave,1,6,4,13,30,108,81.5,Approved
Administration,Casual Leave,1,6,0,0,48,144,93.4,Rejected
Administration,Casual Leave,1,6,0,0,33,96,91.7,Rejected
Administration,Casual Leave,1,6,3,4,50,216,83.0,Approved
Health & Safety,Sick Leave,1,6,3,14,30,108,84.4,Approved
Health & Safety,Sick Leave,1,6,3,2,40,144,90.8,Approved
Health & Safety,Sick Leave,1,6,0,15,30,108,82.8,Approved
Health & Safety,Sick Leave,1,6,0,6,37,120,93.4,Approved
Health & Safety,Sick Leave,1,6,3,3,31,12,78.9,Approved
Health & Safety,Sick Leave,1,6,4,7,37,120,90.9,Approved
Health & Safety,Sick Leave,1,6,2,8,37,120,79.8,Rejected
Health & Safety,Sick Leave,1,6,2,4,31,12,82.4,Approved
Administration,Casual Leave,1,7,2,1,43,156,82.6,Approved
Administration,Casual Leave,1,7,4,5,31,12,100.0,Approved
Health & Safety,Sick Leave,1,7,0,3,58,192,90.9,Approved
Health & Safety,Sick Leave,1,7,0,8,37,120,92.0,Rejected
Health & Safety,Sick Leave,10,7,1,4,58,192,78.0,Approved
Health & Safety,Sick Leave,2,7,1,1,33,156,80.1,Approved
Health & Safety,Sick Leave,1,7,2,8,37,120,88.1,Approved
Health & Safety,Sick Leave,1,7,2,4,28,36,96.4,Rejected
Health & Safety,Sick Leave,1,7,2,12,28,108,85.4,Approved
Health & Safety,Sick Leave,10,7,0,2,31,144,88.5,Approved
Health & Safety,Sick Leave,1,7,1,3,33,156,97.6,Approved
Health & Safety,Sick Leave,1,7,1,2,37,168,80.3,Approved
Administration,Casual Leave,1,7,1,0,33,156,91.3,Approved
Administration,Casual Leave,1,7,1,0,50,216,83.2,Rejected
Health & Safety,Sick Leave,1,7,2,0,38,216,82.6,Rejected
Health & Safety,Sick Leave,1,7,3,0,39,168,82.1,Approved
Health & Safety,Sick Leave,1,7,3,1,33,156,94.2,Approved
Health & Safety,Sick Leave,1,7,4,0,38,216,86.7,Approved
Health & Safety,Sick Leave,1,7,4,0,28,36,90.8,Approved
Health & Safety,Sick Leave,1,7,4,0,36,132,84.5,Approved
Administration,Casual Leave,5,7,0,0,34,168,88.1,Approved
Health & Safety,Sick Leave,1,7,0,0,37,168,86.8,Approved
Health & Safety,Sick Leave,1,7,0,1,36,132,97.0,Approved
Health & Safety,Sick Leave,1,7,1,2,36,132,90.9,Approved
Health & Safety,Sick Leave,1,7,2,3,36,132,83.4,Approved
Health & Safety,Sick Leave,1,7,2,1,38,216,85.6,Approved
Health & Safety,Sick Leave,1,7,2,2,38,216,93.6,Approved
Health & Safety,Sick Leave,1,7,4,0,41,192,91.7,Approved
Operations,Annual Leave,1,7,0,3,38,216,90.5,Approved
Health & Safety,Sick Leave,1,7,3,0,33,156,81.1,Approved
Health & Safety,Sick Leave,1,8,2,0,47,168,85.8,Approved
Health & Safety,Sick Leave,1,8,2,0,28,48,86.0,Approved
Health & Safety,Sick Leave,1,8,0,4,38,216,92.0,Approved
Health & Safety,Sick Leave,5,8,0,1,28,36,78.8,Approved
Health & Safety,Sick Leave,1,8,4,4,36,132,93.7,Approved
Operations,Annual Leave,1,8,0,2,33,156,84.9,Approved
Health & Safety,Sick Leave,1,8,0,2,28,36,91.0,Approved
Health & Safety,Sick Leave,1,8,1,3,33,156,95.2,Approved
Health & Safety,Sick Leave,1,8,2,0,29,72,88.4,Approved
Operations,Annual Leave,1,8,2,4,33,156,84.5,Approved
Health & Safety,Sick Leave,1,8,4,5,38,216,77.9,Approved
Operations,Annual Leave,1,8,0,6,38,216,77.6,Approved
Operations,Annual Leave,1,8,3,0,48,144,97.9,Approved
Health & Safety,Sick Leave,1,8,3,1,37,168,96.4,Rejected
Operations,Annual Leave,1,8,0,1,48,144,84.4,Rejected
Health & Safety,Sick Leave,1,8,0,7,38,216,85.8,Approved
Health & Safety,Sick Leave,1,8,0,3,28,36,81.0,Approved
Operations,Annual Leave,1,8,1,5,33,156,87.2,Approved
Health & Safety,Sick Leave,1,8,3,0,32,144,92.6,Approved
Health & Safety,Sick Leave,1,8,4,1,48,144,95.1,Approved
Health & Safety,Sick Leave,1,8,4,5,36,132,89.4,Approved
Health & Safety,Sick Leave,1,9,1,0,27,84,90.5,Approved
Health & Safety,Sick Leave,1,9,0,0,37,120,93.5,Approved
Health & Safety,Sick Leave,1,9,1,8,38,216,86.3,Rejected
Administration,Casual Leave,1,9,1,0,43,156,93.8,Approved
Health & Safety,Sick Leave,1,9,2,1,34,168,76.6,Approved
Health & Safety,Sick Leave,1,9,0,1,37,120,83.9,Approved
Health & Safety,Sick Leave,1,9,1,8,38,216,87.1,Approved
Health & Safety,Sick Leave,1,9,3,0,40,144,93.7,Approved
Health & Safety,Sick Leave,1,9,4,6,36,132,94.1,Rejected
Health & Safety,Sick Leave,4,9,0,1,40,144,83.3,Rejected
Administration,Casual Leave,1,9,0,6,36,132,83.8,Rejected
Administration,Casual Leave,1,9,0,0,28,108,71.5,Rejected
Health & Safety,Sick Leave,1,9,1,0,28,108,87.1,Approved
Health & Safety,Sick Leave,1,9,1,2,37,120,89.0,Rejected
Administration,Casual Leave,1,9,1,6,33,156,87.1,Rejected
Administration,Casual Leave,1,9,1,0,50,216,97.8,Rejected
Operations,Annual Leave,1,9,2,1,28,108,85.8,Approved
Health & Safety,Sick Leave,1,9,2,9,38,216,95.6,Approved
Administration,Casual Leave,1,9,2,0,31,144,84.7,Rejected
Health & Safety,Sick Leave,1,9,4,1,47,168,89.1,Approved
Health & Safety,Sick Leave,1,9,4,10,38,216,97.7,Approved
Health & Safety,Sick Leave,1,9,4,6,36,132,90.2,Approved
Health & Safety,Sick Leave,1,10,1,11,38,216,83.7,Approved
Health & Safety,Sick Leave,1,10,1,2,37,120,95.1,Rejected
Administration,Casual Leave,1,10,2,0,50,216,72.3,Rejected
Health & Safety,Sick Leave,1,10,3,0,30,108,72.9,Approved
Health & Safety,Sick Leave,1,10,4,12,38,216,86.2,Approved
Health & Safety,Sick Leave,1,10,4,2,28,108,91.2,Approved
Health & Safety,Sick Leave,1,10,2,3,28,108,86.7,Approved
Health & Safety,Sick Leave,1,10,2,2,47,168,84.8,Approved
Health & Safety,Sick Leave,1,10,3,1,40,144,80.7,Approved
Health & Safety,Sick Leave,1,10,2,13,38,216,89.1,Approved
Health & Safety,Sick Leave,1,10,2,4,28,108,90.8,Approved
Administration,Casual Leave,2,10,3,7,36,132,89.7,Approved
Health & Safety,Sick Leave,1,10,1,2,40,144,93.2,Approved
Health & Safety,Sick Leave,1,10,1,5,28,108,100.0,Approved
Administration,Casual Leave,1,10,2,6,33,156,89.9,Approved
Health & Safety,Sick Leave,1,10,4,4,28,36,86.0,Approved
Health & Safety,Sick Leave,1,10,4,8,36,132,89.4,Rejected
Health & Safety,Sick Leave,1,11,3,14,38,216,86.9,Approved
Health & Safety,Sick Leave,1,11,2,6,28,108,92.9,Rejected
Health & Safety,Sick Leave,1,11,3,15,38,216,87.0,Approved
Operations,Annual Leave,1,11,3,0,40,204,91.3,Approved
Health & Safety,Sick Leave,1,11,3,3,40,144,92.0,Approved
Health & Safety,Sick Leave,4,11,0,2,34,168,91.7,Rejected
Health & Safety,Sick Leave,1,11,0,1,33,156,84.2,Approved
Health & Safety,Sick Leave,5,11,0,4,40,144,86.6,Rejected
Health & Safety,Sick Leave,1,11,4,2,34,168,85.1,Approved
Health & Safety,Sick Leave,1,11,2,6,28,108,89.2,Approved
Operations,Annual Leave,1,11,2,1,40,204,83.3,Approved
Health & Safety,Sick Leave,1,11,4,7,28,108,86.0,Approved
Health & Safety,Sick Leave,1,11,4,8,36,132,97.5,Rejected
Health & Safety,Sick Leave,1,11,0,3,47,168,91.7,Approved
Health & Safety,Sick Leave,1,11,1,8,28,108,91.6,Approved
Health & Safety,Sick Leave,3,11,2,7,33,156,89.3,Rejected
Health & Safety,Sick Leave,1,11,3,4,40,144,90.5,Approved
Health & Safety,Sick Leave,1,12,1,4,47,168,85.1,Approved
Administration,Casual Leave,8,12,1,2,37,120,84.5,Rejected
Health & Safety,Sick Leave,1,12,2,0,50,216,78.6,Approved
Administration,Casual Leave,1,12,2,1,37,168,89.8,Rejected
Health & Safety,Sick Leave,1,12,3,9,28,108,91.6,Approved
Administration,Casual Leave,1,12,4,8,36,132,94.3,Rejected
Administration,Casual Leave,7,12,1,2,37,120,93.3,Approved
Health & Safety,Sick Leave,1,12,2,5,28,36,89.3,Rejected
Health & Safety,Sick Leave,1,12,3,10,28,108,90.1,Approved
Health & Safety,Sick Leave,1,12,4,8,36,132,80.2,Approved
Health & Safety,Sick Leave,1,12,1,11,28,108,85.5,Approved
Administration,Casual Leave,1,12,4,3,37,120,86.4,Approved
Administration,Casual Leave,1,12,4,1,41,192,99.0,Approved
Health & Safety,Sick Leave,1,12,4,12,28,108,87.0,Approved
Health & Safety,Sick Leave,1,1,2,0,28,108,82.9,Rejected
Administration,Casual Leave,1,1,0,0,37,120,78.7,Approved
Administration,Casual Leave,1,1,1,1,37,120,89.3,Approved
Operations,Annual Leave,1,1,1,0,34,168,84.2,Approved
Administration,Casual Leave,1,1,2,0,28,108,92.7,Rejected
Health & Safety,Sick Leave,1,1,3,0,27,84,89.2,Approved
Health & Safety,Sick Leave,1,1,3,0,28,108,89.3,Approved
Administration,Casual Leave,1,1,4,1,28,108,88.3,Approved
Administration,Casual Leave,1,1,0,2,37,120,99.4,Approved
Administration,Casual Leave,1,1,1,2,28,108,94.2,Approved
Administration,Casual Leave,1,1,1,3,37,120,92.2,Approved
Administration,Casual Leave,1,1,2,4,37,120,77.8,Approved
Administration,Casual Leave,1,1,3,5,37,120,83.3,Approved
Administration,Casual Leave,1,1,4,6,37,120,84.2,Approved
Operations,Annual Leave,1,1,1,0,30,108,85.1,Approved
Operations,Annual Leave,1,1,1,0,33,156,99.6,Approved
Administration,Casual Leave,1,1,0,7,37,120,89.1,Approved
Health & Safety,Sick Leave,1,1,1,3,28,108,88.8,Approved
Health & Safety,Sick Leave,1,1,3,1,33,156,93.9,Approved
Health & Safety,Sick Leave,1,2,4,1,27,84,87.9,Approved
Health & Safety,Sick Leave,1,2,2,0,41,192,89.4,Approved
Health & Safety,Sick Leave,1,2,2,0,38,216,88.1,Approved
Health & Safety,Sick Leave,1,2,3,1,34,168,90.3,Approved
Health & Safety,Sick Leave,1,2,3,0,33,156,90.6,Rejected
Health & Safety,Sick Leave,1,2,4,0,36,132,90.7,Approved
Health & Safety,Sick Leave,1,2,4,2,33,156,84.1,Approved
Health & Safety,Sick Leave,1,2,0,0,50,108,87.2,Approved
Health & Safety,Sick Leave,1,2,1,1,50,108,95.1,Rejected
Health & Safety,Sick Leave,1,2,0,4,28,108,77.3,Rejected
Health & Safety,Sick Leave,1,2,1,4,28,108,81.5,Approved
Health & Safety,Sick Leave,1,2,1,1,30,108,84.6,Approved
Health & Safety,Sick Leave,1,2,1,2,27,84,79.6,Approved
Health & Safety,Sick Leave,1,2,3,5,28,108,86.3,Rejected
Operations,Annual Leave,1,2,0,0,28,48,83.5,Approved
Health & Safety,Sick Leave,1,2,1,1,28,48,97.2,Rejected
Health & Safety,Sick Leave,1,2,2,5,28,108,91.0,Rejected
Administration,Casual Leave,1,2,3,0,33,156,78.5,Approved
Health & Safety,Sick Leave,1,3,1,0,32,144,82.5,Approved
Administration,Casual Leave,1,3,1,1,36,132,82.0,Rejected
Administration,Casual Leave,1,3,1,0,29,72,93.2,Approved
Operations,Annual Leave,1,3,1,0,40,204,85.7,Approved
Health & Safety,Sick Leave,1,3,2,0,40,144,96.1,Approved
Health & Safety,Sick Leave,1,3,2,1,36,132,82.0,Approved
Health & Safety,Sick Leave,1,3,3,2,30,108,88.6,Rejected
Health & Safety,Sick Leave,1,3,4,0,47,168,77.1,Approved
Health & Safety,Sick Leave,5,3,4,2,36,132,96.2,Approved
Health & Safety,Sick Leave,5,3,0,1,40,204,100.0,Rejected
Health & Safety,Sick Leave,2,3,0,2,34,168,83.4,Approved
Administration,Casual Leave,2,3,0,3,36,132,82.8,Approved
Health & Safety,Sick Leave,1,3,1,3,34,168,81.0,Rejected
Health & Safety,Sick Leave,1,3,3,3,33,156,78.8,Approved
Health & Safety,Sick Leave,1,3,3,1,40,204,90.4,Rejected
Health & Safety,Sick Leave,1,3,4,4,36,132,86.1,Approved
Health & Safety,Sick Leave,1,3,4,5,28,108,81.1,Approved
Health & Safety,Sick Leave,1,3,0,0,39,168,86.9,Rejected
Health & Safety,Sick Leave,3,3,1,1,38,216,90.0,Approved
Health & Safety,Sick Leave,1,3,2,6,28,108,90.7,Approved
Health & Safety,Sick Leave,1,3,0,7,28,108,91.3,Approved
Health & Safety,Sick Leave,1,3,0,2,30,108,79.9,Approved
Health & Safety,Sick Leave,1,3,1,8,28,108,88.4,Approved
Health & Safety,Sick Leave,2,3,2,9,28,108,93.9,Rejected
Health & Safety,Sick Leave,1,3,2,2,38,216,90.8,Approved
Health & Safety,Sick Leave,2,3,3,0,39,168,83.2,Approved
Health & Safety,Sick Leave,1,3,4,9,28,108,82.2,Approved
Health & Safety,Sick Leave,1,3,4,1,47,168,85.5,Approved
Health & Safety,Sick Leave,1,3,0,10,28,108,93.3,Approved
Health & Safety,Sick Leave,1,4,2,1,40,144,87.5,Approved
Health & Safety,Sick Leave,1,4,2,11,28,108,85.0,Rejected
Health & Safety,Sick Leave,1,4,1,3,34,168,91.3,Rejected
Health & Safety,Sick Leave,3,4,2,1,41,192,93.3,Rejected
Health & Safety,Sick Leave,1,4,3,3,34,168,91.7,Rejected
Health & Safety,Sick Leave,1,4,4,11,28,108,95.0,Rejected
Health & Safety,Sick Leave,1,4,4,5,36,132,89.3,Approved
Health & Safety,Sick Leave,3,4,2,3,38,216,89.1,Approved
Health & Safety,Sick Leave,1,4,3,0,50,216,84.8,Approved
Health & Safety,Sick Leave,1,4,4,2,40,144,90.1,Rejected
Health & Safety,Sick Leave,1,4,4,1,41,192,87.2,Approved
Health & Safety,Sick Leave,1,4,4,2,40,144,89.5,Approved
Health & Safety,Sick Leave,1,4,4,2,47,168,90.1,Rejected
Administration,Casual Leave,7,4,4,6,36,132,77.7,Approved
Administration,Casual Leave,1,4,1,4,33,156,91.6,Approved
Health & Safety,Sick Leave,3,4,2,3,34,168,92.8,Approved
Administration,Casual Leave,1,4,2,0,36,132,87.5,Approved
Health & Safety,Sick Leave,2,4,3,5,33,156,82.0,Rejected
Health & Safety,Sick Leave,1,4,4,0,37,168,84.9,Approved
Administration,Casual Leave,1,4,0,0,48,144,90.3,Rejected
Health & Safety,Sick Leave,1,5,2,5,33,156,85.6,Approved
Health & Safety,Sick Leave,1,5,3,4,34,168,78.6,Approved
Health & Safety,Sick Leave,1,5,0,5,34,168,100.0,Approved
Operations,Annual Leave,1,5,1,4,38,216,100.0,Approved
Administration,Casual Leave,1,5,1,11,28,108,95.1,Rejected
Health & Safety,Sick Leave,1,5,2,3,27,84,79.0,Approved
Health & Safety,Sick Leave,1,5,0,6,34,168,91.7,Rejected
Health & Safety,Sick Leave,1,5,1,5,38,216,89.6,Approved
Health & Safety,Sick Leave,3,5,2,6,33,156,94.2,Approved
Administration,Casual Leave,1,5,2,1,39,168,88.0,Rejected
Administration,Casual Leave,1,5,2,1,28,48,79.4,Rejected
Administration,Casual Leave,1,5,2,1,36,132,78.4,Rejected
Administration,Casual Leave,1,5,2,1,50,108,85.8,Rejected
Health & Safety,Sick Leave,1,5,1,6,38,216,100.0,Approved
Health & Safety,Sick Leave,3,5,2,1,50,216,78.9,Approved
Health & Safety,Sick Leave,1,5,4,0,28,36,78.0,Approved
Administration,Casual Leave,1,6,0,2,41,192,86.9,Approved
Health & Safety,Sick Leave,1,6,0,1,28,36,82.2,Approved
Health & Safety,Sick Leave,3,6,1,3,41,192,85.6,Approved
Health & Safety,Sick Leave,1,6,3,3,40,144,87.6,Approved
Health & Safety,Sick Leave,1,6,4,4,41,192,85.3,Rejected
Health & Safety,Sick Leave,1,6,0,7,38,216,98.8,Approved
Health & Safety,Sick Leave,1,6,0,6,34,168,97.6,Approved
Health & Safety,Sick Leave,1,6,0,4,41,192,84.2,Approved
Health & Safety,Sick Leave,1,6,2,2,50,216,87.3,Approved
Health & Safety,Sick Leave,2,6,4,1,37,168,92.1,Approved
Health & Safety,Sick Leave,1,6,1,3,50,216,86.7,Approved
Health & Safety,Sick Leave,10,6,2,4,50,216,92.0,Approved
Health & Safety,Sick Leave,1,6,3,1,36,132,86.6,Approved
Health & Safety,Sick Leave,1,6,4,8,38,216,95.1,Approved
Health & Safety,Sick Leave,1,6,0,0,49,348,92.8,Rejected
Health & Safety,Sick Leave,1,6,3,11,28,108,97.4,Rejected
Administration,Casual Leave,2,7,1,7,34,168,85.2,Rejected
Health & Safety,Sick Leave,1,7,2,5,50,216,82.5,Approved
Health & Safety,Sick Leave,1,7,4,8,37,120,80.1,Approved
Administration,Casual Leave,1,7,4,9,37,120,79.7,Approved
Administration,Casual Leave,1,7,1,1,28,48,79.2,Approved
Operations,Annual Leave,1,7,3,3,30,108,84.2,Rejected
Health & Safety,Sick Leave,1,7,4,7,34,168,80.1,Approved
Health & Safety,Sick Leave,1,7,0,2,28,48,92.0,Approved
Health & Safety,Sick Leave,1,7,1,3,28,48,81.8,Rejected
Health & Safety,Sick Leave,1,7,0,1,29,72,92.3,Approved
Health & Safety,Sick Leave,1,7,1,2,28,36,86.6,Approved
Administration,Casual Leave,1,7,2,7,33,156,95.8,Approved
Administration,Casual Leave,1,7,3,9,38,216,79.5,Approved
Administration,Casual Leave,4,7,0,8,33,156,93.5,Rejected
Administration,Casual Leave,1,7,3,8,33,156,72.5,Approved
Administration,Casual Leave,1,7,3,7,36,132,83.2,Rejected
Administration,Casual Leave,1,8,4,9,33,156,100.0,Approved
Administration,Casual Leave,1,8,4,2,29,72,89.3,Approved
Health & Safety,Sick Leave,1,8,0,10,33,156,94.8,Rejected
Operations,Annual Leave,1,8,1,0,58,192,87.6,Approved
Health & Safety,Sick Leave,1,8,3,0,43,156,93.4,Approved
Health & Safety,Sick Leave,1,8,3,1,43,156,93.3,Rejected
Health & Safety,Sick Leave,1,8,4,7,36,132,84.6,Approved
Health & Safety,Sick Leave,1,8,1,10,33,156,92.4,Rejected
Health & Safety,Sick Leave,1,8,2,2,47,168,80.5,Approved
Health & Safety,Sick Leave,1,8,3,0,33,96,96.2,Approved
Health & Safety,Sick Leave,1,8,3,3,30,108,89.6,Approved
Health & Safety,Sick Leave,1,8,3,6,50,216,94.4,Rejected
Health & Safety,Sick Leave,1,8,0,3,47,168,92.0,Approved
Health & Safety,Sick Leave,1,8,1,2,37,168,90.0,Approved
Health & Safety,Sick Leave,1,8,3,6,50,216,87.0,Approved
Administration,Casual Leave,1,8,3,3,37,168,86.5,Approved
Health & Safety,Sick Leave,1,8,1,3,28,36,80.8,Approved
Health & Safety,Sick Leave,1,8,2,4,27,84,91.0,Approved
