leaveType,leaveDuration,month,dayOfWeek,previousLeavesTaken,status
Casual Leave,3,10,4,9,Rejected
Annual Leave,7,7,5,8,Approved
Sick Leave,2,11,0,9,Approved
Annual Leave,7,7,3,12,Rejected
Sick Leave,2,10,0,14,Approved
Casual Leave,2,9,4,6,Rejected
Annual Leave,7,3,5,7,Rejected
Annual Leave,3,8,4,1,Approved
Casual Leave,2,3,4,12,Approved
Annual Leave,10,12,4,8,Approved
Sick Leave,1,11,5,10,Approved
Sick Leave,5,7,4,7,Approved
Annual Leave,3,7,2,11,Rejected
Casual Leave,1,5,1,0,Approved
Sick Leave,3,1,1,10,Approved
Casual Leave,3,8,0,10,Approved
Casual Leave,1,12,6,3,Approved
Annual Leave,3,2,2,2,Approved
Sick Leave,4,10,5,4,Approved
Annual Leave,21,7,3,1,Rejected
Sick Leave,2,3,3,10,Approved
Annual Leave,7,10,2,5,Rejected
Sick Leave,1,1,0,1,Approved
Sick Leave,1,6,6,10,Approved
Annual Leave,5,2,2,9,Approved
Casual Leave,3,11,6,14,Approved
Sick Leave,7,6,2,6,Approved
Sick Leave,5,4,4,4,Approved
Annual Leave,7,4,3,8,Rejected
Annual Leave,5,12,0,14,Rejected
Casual Leave,1,8,1,12,Approved
Annual Leave,7,4,5,3,Approved
Casual Leave,2,11,1,6,Approved
Sick Leave,3,10,4,6,Approved
Sick Leave,1,9,4,4,Approved
Annual Leave,3,5,2,13,Approved
Sick Leave,1,1,4,10,Approved
Casual Leave,2,1,1,5,Approved
Casual Leave,1,12,6,10,Rejected
Sick Leave,2,3,6,11,Rejected
Annual Leave,7,8,4,14,Rejected
Sick Leave,5,4,5,12,Approved
Casual Leave,1,11,0,10,Rejected
Sick Leave,4,11,4,5,Approved
Casual Leave,1,11,6,6,Approved
Annual Leave,3,8,0,3,Approved
Annual Leave,10,8,3,14,Approved
Sick Leave,1,3,1,1,Approved
Sick Leave,1,10,5,6,Approved
Annual Leave,10,11,6,9,Rejected
Annual Leave,14,11,3,4,Rejected
Sick Leave,10,10,1,11,Approved
Sick Leave,4,12,4,15,Approved
Casual Leave,1,9,2,11,Approved
Casual Leave,1,1,3,3,Approved
Sick Leave,2,8,5,2,Approved
